Here are some great quotes for you to read: 

Quote on |Thu, 20 Jun 2024 10:29:35 GMT| :  Being entirely honest with oneself is a good exercise. - Sigmund Freud
Quote on |Thu, 20 Jun 2024 10:39:15 GMT| :  No party has a monopoly on wisdom. No democracy works without compromise. - Barack Obama
Quote on |Thu, 20 Jun 2024 10:48:20 GMT| :  You are that vast thing that you see far, far off with great telescopes. - Alan Watts
Quote on |Thu, 20 Jun 2024 10:57:05 GMT| :  It's the little details that are vital. Little things make big things happen. - John Wooden
Quote on |Thu, 20 Jun 2024 11:12:33 GMT| :  The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing... not healing, not curing... that is a friend who cares. - Henri Nouwen
Quote on |Thu, 20 Jun 2024 11:23:01 GMT| :  Education is the most powerful weapon which you can use to change the world. - Nelson Mandela
Quote on |Thu, 20 Jun 2024 11:32:07 GMT| :  Believe deep down in your heart that you're destined to do great things. - Joe Paterno
Quote on |Thu, 20 Jun 2024 11:40:54 GMT| :  It has never been my object to record my dreams, just to realize them. - Man Ray
Quote on |Thu, 20 Jun 2024 11:49:52 GMT| :  I cannot always control what goes on outside. But I can always control what goes on inside. - Wayne Dyer
Quote on |Thu, 20 Jun 2024 11:58:54 GMT| :  Let your hook always be cast; in the pool where you least expect it, there will be a fish. - Ovid
Quote on |Thu, 20 Jun 2024 12:35:35 GMT| :  The meaning I picked, the one that changed my life: Overcome fear, behold wonder. - Richard Bach
Quote on |Thu, 20 Jun 2024 12:55:28 GMT| :  Government of the people, by the people, for the people, shall not perish from the Earth. - Abraham Lincoln
Quote on |Thu, 20 Jun 2024 13:14:29 GMT| :  They must often change, who would be constant in happiness or wisdom. - Confucius
Quote on |Thu, 20 Jun 2024 13:27:49 GMT| :  The greatest achievement of humanity is not its works of art, science, or technology, but the recognition of its own dysfunction. - Eckhart Tolle
Quote on |Thu, 20 Jun 2024 13:37:52 GMT| :  Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right. - Abraham Lincoln
Quote on |Thu, 20 Jun 2024 13:46:38 GMT| :  Look up at the stars and not down at your feet. Try to make sense of what you see, and wonder about what makes the universe exist. Be curious. - Stephen Hawking
Quote on |Thu, 20 Jun 2024 13:55:22 GMT| :  Eighty percent of success is showing up. - Woody Allen
Quote on |Thu, 20 Jun 2024 14:11:24 GMT| :  Without some goals and some efforts to reach it, no man can live. - John Dewey
Quote on |Thu, 20 Jun 2024 14:27:18 GMT| :  Be slow in choosing a friend, slower in changing. - Benjamin Franklin
Quote on |Thu, 20 Jun 2024 14:36:04 GMT| :  Joy is what happens to us when we allow ourselves to recognize how good things really are. - Marianne Williamson
Quote on |Thu, 20 Jun 2024 14:44:59 GMT| :  Never put off till tomorrow what you can do today. - Thomas Jefferson
Quote on |Thu, 20 Jun 2024 14:53:52 GMT| :  Problems are only opportunities with thorns on them. - Hugh Miller
Quote on |Thu, 20 Jun 2024 15:10:51 GMT| :  Nine-tenths of wisdom is being wise in time. - Theodore Roosevelt
Quote on |Thu, 20 Jun 2024 15:26:42 GMT| :  Your friend is your needs answered. - Kahlil Gibran
Quote on |Thu, 20 Jun 2024 15:35:57 GMT| :  Wisdom has never made a bigot, but learning has. - Josh Billings
Quote on |Thu, 20 Jun 2024 15:44:52 GMT| :  All know the way; few actually walk it. - Bodhidharma
Quote on |Thu, 20 Jun 2024 15:53:41 GMT| :  Go put your creed into the deed. Nor speak with double tongue. - Ralph Waldo Emerson
Quote on |Thu, 20 Jun 2024 16:12:53 GMT| :  The way we communicate with others and with ourselves ultimately determines the quality of our lives. - Tony Robbins
Quote on |Thu, 20 Jun 2024 16:33:04 GMT| :  We are made wise not by the recollection of our past, but by the responsibility for our future. - Bernard Shaw
Quote on |Thu, 20 Jun 2024 16:43:59 GMT| :  Of all the things which wisdom provides to make us entirely happy, much the greatest is the possession of friendship. - Epicurus
